Timestamp,Location,Vehicle_Count,Average_Speed,Weather,Signal_Time,Accidents,Congestion_Level
2026-01-01 08:00,MG Road,120,35,Clear,60,0,Medium
2026-01-01 08:05,MG Road,140,30,Clear,70,0,High
2026-01-01 08:10,MG Road,90,45,Cloudy,50,0,Low
2026-01-01 08:15,MG Road,160,25,Rainy,80,1,High
2026-01-01 08:20,MG Road,110,40,Clear,60,0,Medium
2026-01-01 09:00,Airport Road,130,40,Clear,55,0,Medium
2026-01-01 09:05,Airport Road,170,28,Rainy,80,1,High
2026-01-01 09:10,Airport Road,95,50,Cloudy,45,0,Low
2026-01-01 09:15,Airport Road,150,32,Clear,65,0,Medium
2026-01-01 09:20,Airport Road,180,25,Rainy,90,2,High
2026-01-01 09:25,Airport Road,110,42,Cloudy,50,0,Medium
2026-01-01 09:30,Airport Road,85,55,Clear,40,0,Low
2026-01-01 09:35,Airport Road,160,30,Rainy,75,1,High
2026-01-01 09:40,Airport Road,140,35,Clear,60,0,Medium
2026-01-01 09:45,Airport Road,100,48,Cloudy,50,0,Low
2026-01-01 10:00,City Market,125,38,Clear,60,0,Medium
2026-01-01 10:05,City Market,185,24,Rainy,85,2,High
2026-01-01 10:10,City Market,90,52,Cloudy,45,0,Low
2026-01-01 10:15,City Market,155,30,Clear,70,1,Medium
2026-01-01 10:20,City Market,175,26,Rainy,90,1,High
2026-01-01 10:25,City Market,105,44,Cloudy,50,0,Medium
2026-01-01 10:30,City Market,80,58,Clear,35,0,Low
2026-01-01 10:35,City Market,165,29,Rainy,80,2,High
2026-01-01 10:40,City Market,145,36,Clear,60,0,Medium
2026-01-01 10:45,City Market,115,46,Cloudy,55,0,Low
